devicenum,locationgroup,locationgroupdevicenum,location,address,longitude,latitude,uniqueidentifier,stathingid,stadatastreamid,iotdeviceid,iotprimarythumbnail,iotsecondarythumbnail
212,Intersections,95,WILLOW @ CORA,,-92.027097,30.245763,,,,,,
213,Intersections,96,VEROT SCHOOL @ DIGBY,,-92.026651,30.152634,,,,,,
214,Intersections,97,KALISTE @ RIVER RANCH,,-92.034288,30.168688,,,,,,
215,Intersections,98,CAMELLIA @ CAMBRIDGE,,-92.053629,30.18712,,,,,,
216,Intersections,99,CONGRESS @ GUILBEAU,,-92.07007,30.198256,,,,,,
217,Intersections,100,BENDEL @ MARGUERITE,,-92.018597,30.200826,,,,,,
218,Intersections,101,PINHOOK @ SAGE GLENN,,-92.004122,30.180332,,,,,,
219,Intersections,102,SIMCOE @ ST ANTOINE,,-92.024926,30.230551,,,,,,
220,Intersections,103,ST ANTOINE @ MADELINE,,-92.024925,30.238185,,,,,,
221,Intersections,104,MLK @ ST ANTOINE,,-92.025527,30.249668,,,,,,
222,Intersections,105,VEROT SCHOOL @ RUE LOUIS XIV,,-92.020575,30.165348,,,,,,
223,Intersections,106,PINHOOK @ VEROT SCHOOL,,-92.00236,30.176732,,,,,,
224,Intersections,107,AMBASSADOR @ KALISTE,,-92.048334,30.156484,,,,,,
225,Intersections,108,BERTRAND @ DEVALCOURT,,-92.049271,30.218245,,,,,,
226,Intersections,109,KALISTE SALOOM @ RUE LOUIS XIV,,-92.029834,30.172837,,,,,,
227,Intersections,110,KALISTE @ BEADLE,,-92.02247,30.180186,,,,,,
228,Intersections,111,KALISTE @ E. BAYOU/FEU FOLLET,,-92.017253,30.182888,,,,,,
229,Intersections,112,KALISTE @ MARTIAL,,-92.039816,30.164768,,,,,,
230,Intersections,113,KALISTE @ HUGH WALLIS,,-92.005421,30.195733,,,,,,
231,Intersections,114,JOHNSTON @ GOUDCHAUX,,-92.079563,30.173243,,,,,,
232,Intersections,115,JOHNSTON @ WESTMARK,,-92.070164,30.182425,,,,,,
233,Intersections,116,JOHNSTON @ SEARS,,-92.077582,30.175176,,,,,,
234,Intersections,117,JOHNSTON @ FOREMAN/WOODVALE,,-92.052114,30.202339,,,,,,
235,Intersections,118,JOHNSTON @ CAJUNDOME/TWINOAKS,,-92.033822,30.209198,,,,,,
